id_poste_livraison;id_parc;code_insee;nom_commune;code_dept;code_reg;x_poste_livraison;y_poste_livraison;epsg;libelle;date_maj
0003013498_PL1;0003013498;08189;GIRONDELLE;08;44;797227.5;6972790.5;2154;Lambert-93;2022-10-20
0003013498_PL1;0003013498;08100;CHAMPLIN;08;44;797227.5;6972790.5;2154;Lambert-93;2022-10-20
0003013498_PL2;0003013498;08189;GIRONDELLE;08;44;797696.7;6972722.0;2154;Lambert-93;2022-10-20
0003013498_PL2;0003013498;08100;CHAMPLIN;08;44;797696.7;6972722.0;2154;Lambert-93;2022-10-20
0003013632_PL1;0003013632;55067;BOVIOLLES;55;44;878633.0;6844281.0;2154;Lambert-93;2022-10-21
0003013632_PL1;0003013632;55472;SAULVAUX;55;44;878633.0;6844281.0;2154;Lambert-93;2022-10-21
0003013632_PL2;0003013632;55067;BOVIOLLES;55;44;878363.0;6843023.0;2154;Lambert-93;2022-10-21
0003013632_PL2;0003013632;55472;SAULVAUX;55;44;878363.0;6843023.0;2154;Lambert-93;2022-10-21
0003013655_PL1;0003013655;10382;TRAINEL;10;44;730558.7;6815567.0;2154;Lambert-93;2022-10-22
0003013655_PL1;0003013655;10169;GUMERY;10;44;730558.7;6815567.0;2154;Lambert-93;2022-10-22
0003013655_PL2;0003013655;10169;GUMERY;10;44;730565.2;6815558.5;2154;Lambert-93;2022-10-22
0003013655_PL2;0003013655;10382;TRAINEL;10;44;730565.2;6815558.5;2154;Lambert-93;2022-10-22
0003013806_PL1;0003013806;51116;CHAMPGUYON;51;44;741534.0;6853362.0;2154;Lambert-93;2022-10-25
0003013806_PL2;0003013806;51116;CHAMPGUYON;51;44;741891.0;6852592.0;2154;Lambert-93;2022-10-25
0003013807_PL1;0003013807;51512;SAINT-QUENTIN-SUR-COOLE;51;44;796182.4;6860393.0;2154;Lambert-93;2022-10-20
0003013808_PL1;0003013808;51589;VANAULT-LE-CHATEL;51;44;819764.0;6863744.0;2154;Lambert-93;2022-10-22
0003013855_PL1;0003013855;51472;ST AMAND SUR FION;51;44;820163.0;6860754.0;2154;Lambert-93;2022-10-22
0003013855_PL2;0003013855;51472;ST AMAND SUR FION;51;44;820167.0;6860746.0;2154;Lambert-93;2022-10-22
0003013981_PL1;0003013981;51178;COUPETZ;51;44;797760.8;6856786.5;2154;Lambert-93;2022-10-25
0003013981_PL2;0003013981;51178;COUPETZ;51;44;797768.44;6856780.0;2154;Lambert-93;2022-10-25
0003013993_PL1;0003013993;08268;MAISONCELLE-ET-VILLERS;08;44;839359.0;6946258.0;2154;Lambert-93;2022-10-23
0003014062_PL1;0003014062;52107;CHANTRAINES;52;44;867171.0;6791974.0;2154;Lambert-93;2022-10-26
0003014066_PL1;0003014066;51185;COURGIVAUX;51;44;736761.8;6847156.0;2154;Lambert-93;2022-10-26
0003014066_PL1;0003014066;51402;NEUVY;51;44;736761.8;6847156.0;2154;Lambert-93;2022-10-26
0003014066_PL2;0003014066;51402;NEUVY;51;44;736769.6;6845080.0;2154;Lambert-93;2022-10-26
0003014066_PL2;0003014066;51185;COURGIVAUX;51;44;736769.6;6845080.0;2154;Lambert-93;2022-10-26
0003014066_PL3;0003014066;51185;COURGIVAUX;51;44;734831.3;6847563.5;2154;Lambert-93;2022-10-26
0003014066_PL3;0003014066;51402;NEUVY;51;44;734831.3;6847563.5;2154;Lambert-93;2022-10-26
0003014067_PL1;0003014067;51395;NESLE LA REPOSTE;51;44;740435.3;6837177.5;2154;Lambert-93;2022-10-26
0003014067_PL1;0003014067;51236;LES ESSARTS LE VICOMTE;51;44;740435.3;6837177.5;2154;Lambert-93;2022-10-26
0003014067_PL2;0003014067;51236;LES ESSARTS LE VICOMTE;51;44;740435.3;6837177.5;2154;Lambert-93;2022-10-26
0003014067_PL2;0003014067;51395;NESLE LA REPOSTE;51;44;740435.3;6837177.5;2154;Lambert-93;2022-10-26
0003014067_PL3;0003014067;51395;NESLE LA REPOSTE;51;44;740435.3;6837177.5;2154;Lambert-93;2022-10-26
0003014067_PL3;0003014067;51236;LES ESSARTS LE VICOMTE;51;44;740435.3;6837177.5;2154;Lambert-93;2022-10-26
0003014088_PL1;0003014088;51099;BUSSY LETTREE;51;44;794092.9;6856513.5;2154;Lambert-93;2022-10-25
0003014088_PL1;0003014088;51212;DOMMARTIN-LETTREE;51;44;794092.9;6856513.5;2154;Lambert-93;2022-10-25
0003014088_PL2;0003014088;51099;BUSSY LETTREE;51;44;794098.8;6856506.5;2154;Lambert-93;2022-10-25
0003014088_PL2;0003014088;51212;DOMMARTIN-LETTREE;51;44;794098.8;6856506.5;2154;Lambert-93;2022-10-25
0003014162_PL1;0003014162;51236;LES ESSARTS LE VICOMTE;51;44;741917.0;6840663.0;2154;Lambert-93;2022-10-22
0003014162_PL1;0003014162;51258;LA FORESTIERE;51;44;741917.0;6840663.0;2154;Lambert-93;2022-10-22
0003014287_PL1;0003014287;51509;SAINT-PIERRE;51;44;792721.8;6870018.0;2154;Lambert-93;2022-10-22
0003014293_PL1;0003014293;10438;VITRY-LE-CROISE;10;44;815199.0;6785705.0;2154;Lambert-93;2022-10-25
0003014293_PL1;0003014293;10136;EGUILLY SOUS BOIS;10;44;815199.0;6785705.0;2154;Lambert-93;2022-10-25
0003014426_PL1;0003014426;51328;LOISY-SUR-MARNE;51;44;811589.5;6852168.0;2154;Lambert-93;2022-10-22
0003014426_PL1;0003014426;51340;MAISONS EN CHAMPAGNE;51;44;811589.5;6852168.0;2154;Lambert-93;2022-10-22
0003014426_PL2;0003014426;51340;MAISONS EN CHAMPAGNE;51;44;812152.5;6852427.0;2154;Lambert-93;2022-10-22
0003014426_PL2;0003014426;51328;LOISY-SUR-MARNE;51;44;812152.5;6852427.0;2154;Lambert-93;2022-10-22
0003014428_PL1;0003014428;51263;FROMENTIERES;51;44;750157.0;6865384.0;2154;Lambert-93;2022-11-25
0003014428_PL1;0003014428;51304;JANVILLIERS;51;44;750157.0;6865384.0;2154;Lambert-93;2022-11-25
0003014428_PL1;0003014428;51042;BAYE;51;44;750157.0;6865384.0;2154;Lambert-93;2022-11-25
0003014428_PL2;0003014428;51263;FROMENTIERES;51;44;750157.0;6865374.0;2154;Lambert-93;2022-11-25
0003014428_PL2;0003014428;51042;BAYE;51;44;750157.0;6865374.0;2154;Lambert-93;2022-11-25
0003014428_PL2;0003014428;51304;JANVILLIERS;51;44;750157.0;6865374.0;2154;Lambert-93;2022-11-25
0003014493_PL1;0003014493;52178;DOULEVANT-LE-CHATEAU;52;44;839251.0;6809436.0;2154;Lambert-93;2022-10-26
0003014493_PL2;0003014493;52178;DOULEVANT-LE-CHATEAU;52;44;840120.0;6808838.0;2154;Lambert-93;2022-10-26
0003014565_PL1;0003014565;55150;DEMANGE-BAUDIGNECOURT;55;44;880265.0;6832284.0;2154;Lambert-93;2022-10-27
