idMvt;conf;xsaisi;ysaisi;epsg;num_insee;commune;dateDebut;lieu_dit;typeMvt;libelleType;fiabiliteType;libelleFiabilite;PrecDate;libelleDate;prec_xy;libellePrec;longitudeDoublePrec;latitudeDoublePrec;
"63100145";;"530070";"1805935";"27572";"31206";"GAILLAC-TOULZA";;;"1";"Glissement";"1";"Fort";"0";"Inconnue";"2";"Décamètre";"1.47692962169427";"43.2524077122761028";
"63100146";;"529339";"1807343";"27572";"31206";"GAILLAC-TOULZA";;"Est de Louiset";"1";"Glissement";"1";"Fort";"0";"Inconnue";"2";"Décamètre";"1.46775275422074003";"43.2649860471702965";
"63100147";;"526197";"1807845";"27572";"31206";"GAILLAC-TOULZA";;;"1";"Glissement";"1";"Fort";"0";"Inconnue";"2";"Décamètre";"1.42905189841363001";"43.2691771964877034";
"63100129";;"528910";"1804726";"27572";"31206";"GAILLAC-TOULZA";;;"1";"Glissement";"1";"Fort";"8";"Récurrent";"2";"Décamètre";"1.46283629715251995";"43.2414301862644024";
"63100130";;"503536";"1824621";"27572";"31435";"POUCHARRAMET";"2002-01-01";"Mourane";"1";"Glissement";"1";"Fort";"4";"Année";"2";"Décamètre";"1.14731431780482995";"43.4171954203996009";
"63100132";;"491649";"1823780";"27572";"31419";"LE PIN-MURELET";"2002-01-01";"La Carboue";"1";"Glissement";"1";"Fort";"4";"Année";"2";"Décamètre";"1.00096805002415001";"43.4079222017496988";
"63100017";;"537645";"1848656";"27572";"31352";"MONDOUZIL";;"Le Fresquet";"1";"Glissement";"1";"Fort";"8";"Récurrent";"2";"Décamètre";"1.56488223771037993";"43.6370165339844007";
"63100019";;"538730";"1848882";"27572";"31285";"LAVALETTE";"2003-01-01";"Les Costes";"1";"Glissement";"1";"Fort";"4";"Année";"2";"Décamètre";"1.57828206174822006";"43.6391427448734035";
"63100008";;"477908";"1793079";"27572";"31504";"SAINT-MEDARD";;;"1";"Glissement";"1";"Fort";"8";"Récurrent";"2";"Décamètre";"0.838839848729068027";"43.129879248548697";
"63100122";;"542100";"1812931";"27572";"31100";"CALMONT";;"Coupe";"1";"Glissement";"1";"Fort";"0";"Inconnue";"2";"Décamètre";"1.62402448423821011";"43.3163494345822997";
"63100273";;"518720";"1867930";"27572";"31515";"SAINT-RUSTICE";;;"1";"Glissement";"1";"Fort";"0";"Inconnue";"2";"Décamètre";"1.32763053327923997";"43.8083253114660991";
"63100274";;"507350";"1856600";"27572";"31089";"BRETX";;"Ouest de Castel Biel";"1";"Glissement";"1";"Fort";"0";"Inconnue";"2";"Décamètre";"1.18856737416045011";"43.7050873760952001";
"63100264";;"496260";"1831390";"27572";"31464";"SABONNERES";;"Nord de Engilos";"1";"Glissement";"1";"Fort";"0";"Inconnue";"3";"Hectomètre";"1.05626736123162002";"43.4769916623225967";
"63100265";;"518420";"1814970";"27572";"31517";"SAINT-SULPICE-SUR-LEZE";"1992-01-01";"Pesquiès";"1";"Glissement";"1";"Fort";"4";"Année";"2";"Décamètre";"1.33231138271164995";"43.3323449955144966";
"63100266";;"518810";"1814940";"27572";"31517";"SAINT-SULPICE-SUR-LEZE";"1992-01-01";;"1";"Glissement";"1";"Fort";"4";"Année";"3";"Hectomètre";"1.33711652507230006";"43.3321201365951012";
"63100267";;"531620";"1816790";"27572";"31033";"AUTERIVE";"1996-01-01";"Ouest de Trantouil";"1";"Glissement";"1";"Fort";"4";"Année";"3";"Hectomètre";"1.49455168573873998";"43.3500924018175979";
"63100260";;"514230";"1817260";"27572";"31399";"NOE";;;"1";"Glissement";"1";"Fort";"0";"Inconnue";"2";"Décamètre";"1.28035884632125008";"43.3524273509268028";
"63100247";;"527580";"1841430";"27572";"31555";"TOULOUSE";;;"1";"Glissement";"2";"Moyen";"0";"Inconnue";"2";"Décamètre";"1.44134975037660995";"43.5711137287376999";
"63100252";;"519710";"1830790";"27572";"31533";"SAUBENS";;;"1";"Glissement";"1";"Fort";"0";"Inconnue";"3";"Hectomètre";"1.3457333529281601";"43.4746463744787022";
"63100254";;"519050";"1828860";"27572";"31395";"MURET";;"Roucade";"1";"Glissement";"1";"Fort";"0";"Inconnue";"2";"Décamètre";"1.33789212760923992";"43.4572279161950021";
"63100239";;"527640";"1839530";"27572";"31555";"TOULOUSE";;;"1";"Glissement";"2";"Moyen";"0";"Inconnue";"3";"Hectomètre";"1.44235876191606005";"43.5540445402451013";
"63100240";;"527520";"1839500";"27572";"31555";"TOULOUSE";;;"1";"Glissement";"2";"Moyen";"0";"Inconnue";"3";"Hectomètre";"1.44088017725852002";"43.5537626430770004";
"63100241";;"527520";"1840610";"27572";"31555";"TOULOUSE";;;"1";"Glissement";"2";"Moyen";"0";"Inconnue";"2";"Décamètre";"1.44072373091341999";"43.5637381999745017";
"63100242";;"527590";"1840650";"27572";"31555";"TOULOUSE";;;"1";"Glissement";"2";"Moyen";"0";"Inconnue";"2";"Décamètre";"1.4415832182152899";"43.5641048530572021";
"63100244";;"527480";"1841100";"27572";"31555";"TOULOUSE";;;"1";"Glissement";"2";"Moyen";"0";"Inconnue";"2";"Décamètre";"1.44016025902021005";"43.5681377470642985";
"63100245";;"527610";"1841060";"27572";"31555";"TOULOUSE";;;"1";"Glissement";"2";"Moyen";"0";"Inconnue";"2";"Décamètre";"1.44177266779230995";"43.5677915873533976";
"63100246";;"527590";"1841190";"27572";"31555";"TOULOUSE";;;"1";"Glissement";"2";"Moyen";"0";"Inconnue";"3";"Hectomètre";"1.4415071619242501";"43.5689578566692006";
"63100234";;"527495";"1839203";"27572";"31555";"TOULOUSE";;;"1";"Glissement";"2";"Moyen";"0";"Inconnue";"3";"Hectomètre";"1.44061312471058001";"43.5510909582044974";
"63100236";;"527600";"1839320";"27572";"31555";"TOULOUSE";;;"1";"Glissement";"2";"Moyen";"0";"Inconnue";"3";"Hectomètre";"1.4418940505665101";"43.5521531868511005";
"63100237";;"527620";"1839370";"27572";"31555";"TOULOUSE";;;"1";"Glissement";"2";"Moyen";"0";"Inconnue";"2";"Décamètre";"1.44213414195758993";"43.5526045812814999";
"63100238";;"527670";"1839500";"27572";"31555";"TOULOUSE";;;"1";"Glissement";"2";"Moyen";"0";"Inconnue";"2";"Décamètre";"1.44273368389106005";"43.553778000499797";
"63100268";;"551330";"1819170";"27572";"31450";"RENNEVILLE";;"Nord est de Lanou";"1";"Glissement";"1";"Fort";"0";"Inconnue";"2";"Décamètre";"1.73702297256290006";"43.3731041512495992";
"63100255";;"518640";"1828160";"27572";"31395";"MURET";;;"1";"Glissement";"1";"Fort";"0";"Inconnue";"2";"Décamètre";"1.33294483720496992";"43.4508906902405982";
"63100256";;"518720";"1828180";"27572";"31395";"MURET";"2006-01-01";;"1";"Glissement";"1";"Fort";"3";"Saison";"2";"Décamètre";"1.33392843276834006";"43.4510795927409035";
"63100229";;"527450";"1838600";"27572";"31555";"TOULOUSE";;;"1";"Glissement";"2";"Moyen";"0";"Inconnue";"3";"Hectomètre";"1.44014213848574002";"43.5456672340834032";
"63100108";;"501731";"1853124";"27572";"31120";"LE CASTERA";;"A l'ouest de Heillac";"1";"Glissement";"1";"Fort";"8";"Récurrent";"2";"Décamètre";"1.1196217283857699";"43.6730867937658971";
"63100110";;"498665";"1857433";"27572";"31126";"CAUBIAC";"1950-01-01";"Au nord de La Mude";"1";"Glissement";"1";"Fort";"5";"Décennie";"2";"Décamètre";"1.08080628570000004";"43.7113796869237987";
"63100111";;"499420";"1856666";"27572";"31126";"CAUBIAC";;"A l'est de Lingué";"1";"Glissement";"1";"Fort";"8";"Récurrent";"2";"Décamètre";"1.09031159482851003";"43.7045943760425999";
"63100116";;"537385";"1868359";"27572";"31311";"LA MAGDELEINE-SUR-TARN";"2000-01-01";"Camparol";"1";"Glissement";"1";"Fort";"4";"Année";"2";"Décamètre";"1.55925139289115999";"43.8140893226463035";
"63100113";;"505929";"1847710";"27572";"31339";"MERENVIELLE";"1999-12-30";"Borde Basse";"1";"Glissement";"1";"Fort";"1";"Jour";"2";"Décamètre";"1.17259471559845996";"43.6250020644204";
"63100068";;"546606";"1820659";"27572";"31210";"GARDOUCH";;"Borde Petite";"1";"Glissement";"1";"Fort";"8";"Récurrent";"2";"Décamètre";"1.67867837483612004";"43.3861443811716967";
"63100069";;"546518";"1820589";"27572";"31210";"GARDOUCH";;"Petite Borde";"1";"Glissement";"1";"Fort";"8";"Récurrent";"2";"Décamètre";"1.67760136946673";"43.3855087301020035";
"63100070";;"501688";"1839632";"27572";"31075";"BONREPOS-SUR-AUSSONNELLE";;"Le Mourigail";"1";"Glissement";"1";"Fort";"8";"Récurrent";"2";"Décamètre";"1.12167302618617004";"43.551829994421503";
"63100071";;"502612";"1838878";"27572";"31075";"BONREPOS-SUR-AUSSONNELLE";;"Entre Mouret et Pader";"1";"Glissement";"1";"Fort";"8";"Récurrent";"2";"Décamètre";"1.13323235511646003";"43.5451820337054016";
"63100059";;"549913";"1817688";"27572";"31368";"MONTCLAR-LAURAGAIS";;;"1";"Glissement";"1";"Fort";"0";"Inconnue";"2";"Décamètre";"1.71971150729893996";"43.3596884080388989";
"63100060";;"548576";"1818638";"27572";"31368";"MONTCLAR-LAURAGAIS";;"Le Bez";"1";"Glissement";"1";"Fort";"0";"Inconnue";"2";"Décamètre";"1.70315157746040002";"43.3681293337444984";
"63100061";;"553268";"1832399";"27572";"31540";"SEGREVILLE";;;"1";"Glissement";"1";"Fort";"8";"Récurrent";"2";"Décamètre";"1.75969839610008005";"43.4921158847403007";
"63100062";;"552650";"1831356";"27572";"31540";"SEGREVILLE";;;"1";"Glissement";"1";"Fort";"8";"Récurrent";"2";"Décamètre";"1.75216572304906992";"43.4827015585590999";
"63100052";;"563270";"1826868";"27572";"31478";"SAINT-FELIX-LAURAGAIS";;;"1";"Glissement";"1";"Fort";"8";"Récurrent";"2";"Décamètre";"1.88355712433273004";"43.4429998821637966";
"63100053";;"561854";"1828501";"27572";"31478";"SAINT-FELIX-LAURAGAIS";;;"1";"Glissement";"1";"Fort";"8";"Récurrent";"2";"Décamètre";"1.86597229374578011";"43.4576001991092014";
"63100105";;"501557";"1853096";"27572";"31120";"LE CASTERA";;"Les Pountils";"1";"Glissement";"1";"Fort";"8";"Récurrent";"2";"Décamètre";"1.11747266400259004";"43.6728109020290987";
"63100106";;"503130";"1853724";"27572";"31120";"LE CASTERA";;"Senpe";"1";"Glissement";"1";"Fort";"8";"Récurrent";"2";"Décamètre";"1.13683055921133991";"43.6786725935423021";
"63100026";;"530993";"1853549";"27572";"31484";"SAINT-GENIES-BELLEVUE";;"Laucate";"1";"Glissement";"1";"Fort";"0";"Inconnue";"2";"Décamètre";"1.48190612853523995";"43.6803746993510984";
"63100094";;"534804";"1863548";"27572";"31383";"MONTJOIRE";;"Bourdayre";"1";"Glissement";"1";"Fort";"0";"Inconnue";"2";"Décamètre";"1.5278274514458301";"43.7706104929560027";
"63100095";;"518674";"1867858";"27572";"31515";"SAINT-RUSTICE";"2003-09-01";;"1";"Glissement";"1";"Fort";"2";"Mois";"2";"Décamètre";"1.32707107796859991";"43.8076728268087976";
"63100096";;"541909";"1866655";"27572";"31066";"BESSIERES";"2003-03-01";"Castelrives";"1";"Glissement";"1";"Fort";"2";"Mois";"2";"Décamètre";"1.61560434700125999";"43.7991602920353031";
"63100098";;"540242";"1867411";"27572";"31066";"BESSIERES";;"Noubel";"1";"Glissement";"1";"Fort";"0";"Inconnue";"2";"Décamètre";"1.59482787522135006";"43.8058162865180023";
"63100100";;"498094";"1867419";"27572";"31265";"LAGRAULET-SAINT-NICOLAS";"1992-01-01";"Côte Saint Nicolas";"1";"Glissement";"1";"Fort";"4";"Année";"2";"Décamètre";"1.07173934515850999";"43.8010490299716011";
"63100093";;"535309";"1863473";"27572";"31383";"MONTJOIRE";"1995-07-01";;"1";"Glissement";"1";"Fort";"3";"Saison";"2";"Décamètre";"1.53410093453592";"43.7699829163195986";
"63100082";;"514980";"1847389";"27572";"31417";"PIBRAC";"1960-01-01";"Le Chalet";"1";"Glissement";"1";"Fort";"5";"Décennie";"2";"Décamètre";"1.2846252858876801";"43.6232645564777997";
"63100084";;"517257";"1854292";"27572";"31032";"AUSSONNE";"1995-01-01";"Magasset";"1";"Glissement";"1";"Fort";"5";"Décennie";"2";"Décamètre";"1.3116808682583101";"43.6855754489638031";
"63100073";;"502485";"1838546";"27572";"31075";"BONREPOS-SUR-AUSSONNELLE";;"Embarrocoucut";"1";"Glissement";"1";"Fort";"8";"Récurrent";"2";"Décamètre";"1.13172628247587004";"43.5421810512202967";
"63100101";;"497674";"1867265";"27572";"31265";"LAGRAULET-SAINT-NICOLAS";;"La Tounine";"1";"Glissement";"1";"Fort";"0";"Inconnue";"2";"Décamètre";"1.06655822181582005";"43.7996039667186992";
"63100102";;"499290";"1860777";"27572";"31164";"DRUDAS";;"Bergalasse";"1";"Glissement";"1";"Fort";"8";"Récurrent";"2";"Décamètre";"1.08789149007069996";"43.7415236714013034";
"63100283";;"527070";"1826730";"27572";"31572";"VENERQUE";;;"1";"Glissement";"1";"Fort";"0";"Inconnue";"3";"Hectomètre";"1.43712671953849003";"43.4389582954009015";
